"","prec","tmax","tmin","id","lectivo","fest","hora","intensidad","carga","dia","mes","anio"
"24",FALSE,18,4,S4590,Si,F,07:00,33,9,Sun,May, 2016
"25",FALSE,18,4,S4590,Si,F,07:15,20,6,Sun,May, 2016
"26",FALSE,18,4,S4590,Si,F,10:30,20,4,Sun,May, 2016
"27",FALSE,18,4,S4590,Si,F,11:00,24,4,Sun,May, 2016
"28",FALSE,18,4,S4590,Si,F,11:15,20,4,Sun,May, 2016
"29",FALSE,18,4,S4590,Si,F,11:30,20,4,Sun,May, 2016
"30",FALSE,18,4,S4590,Si,F,11:45,20,3,Sun,May, 2016
"31",FALSE,18,4,S4590,Si,F,12:15,20,4,Sun,May, 2016
"32",FALSE,18,4,S4590,Si,F,14:00,20,4,Sun,May, 2016
"33",FALSE,18,4,S4590,Si,F,14:30,20,4,Sun,May, 2016
"34",FALSE,18,4,S4590,Si,F,14:45,20,4,Sun,May, 2016
"35",FALSE,18,4,S4590,Si,F,15:00,20,4,Sun,May, 2016
"36",FALSE,18,4,S4590,Si,F,18:15,20,3,Sun,May, 2016
"37",FALSE,18,4,S4590,Si,F,18:30,20,4,Sun,May, 2016
"38",FALSE,18,4,S4590,Si,F,16:30,20,4,Sun,May, 2016
"39",FALSE,18,4,S4590,Si,F,17:15,20,4,Sun,May, 2016
"40",FALSE,18,4,S4590,Si,F,17:30,20,2,Sun,May, 2016
"41",FALSE,18,4,S4590,Si,F,18:00,20,4,Sun,May, 2016
"42",FALSE,18,4,S4590,Si,F,19:30,20,4,Sun,May, 2016
"43",FALSE,18,4,S4590,Si,F,20:15,20,4,Sun,May, 2016
"44",FALSE,18,4,S4590,Si,F,20:45,20,4,Sun,May, 2016
"45",FALSE,18,4,S4590,Si,F,18:45,25,4,Sun,May, 2016
"46",FALSE,18,4,S4590,Si,F,19:00,24,5,Sun,May, 2016
"47",FALSE,18,4,S4590,Si,F,22:00,20,4,Sun,May, 2016
"48",FALSE,18,4,S4590,Si,F,21:45,20,4,Sun,May, 2016
"50",FALSE,23,4,S4590,Si,F,07:00,22,3,Mon,May, 2016
"51",FALSE,23,4,S4590,Si,F,07:15,20,3,Mon,May, 2016
"52",FALSE,23,4,S4590,Si,F,08:30,20,4,Mon,May, 2016
"53",FALSE,23,4,S4590,Si,F,10:30,20,4,Mon,May, 2016
"54",FALSE,23,4,S4590,Si,F,11:00,20,3,Mon,May, 2016
"55",FALSE,23,4,S4590,Si,F,20:30,20,3,Mon,May, 2016
"56",FALSE,23,4,S4590,Si,F,20:45,20,4,Mon,May, 2016
"57",FALSE,23,4,S4590,Si,F,11:30,20,4,Mon,May, 2016
"58",FALSE,23,4,S4590,Si,F,11:45,20,1,Mon,May, 2016
"59",FALSE,23,4,S4590,Si,F,12:00,20,3,Mon,May, 2016
"60",FALSE,23,4,S4590,Si,F,21:30,20,4,Mon,May, 2016
"61",FALSE,23,4,S4590,Si,F,22:15,20,4,Mon,May, 2016
"62",FALSE,23,4,S4590,Si,F,23:30,20,4,Mon,May, 2016
"88",FALSE,26,10,S4590,Si,L,08:30,20,4,Tue,May, 2016
"89",FALSE,26,10,S4590,Si,L,08:45,20,1,Tue,May, 2016
"90",FALSE,26,10,S4590,Si,L,09:00,20,3,Tue,May, 2016
"91",FALSE,26,10,S4590,Si,L,07:00,20,3,Tue,May, 2016
"92",FALSE,26,10,S4590,Si,L,07:15,26,3,Tue,May, 2016
"93",FALSE,26,10,S4590,Si,L,07:30,30,4,Tue,May, 2016
"94",FALSE,26,10,S4590,Si,L,10:15,26,8,Tue,May, 2016
"95",FALSE,26,10,S4590,Si,L,10:30,33,5,Tue,May, 2016
"96",FALSE,26,10,S4590,Si,L,10:45,36,7,Tue,May, 2016
"97",FALSE,26,10,S4590,Si,L,11:00,45,7,Tue,May, 2016
"98",FALSE,26,10,S4590,Si,L,09:15,28,2,Tue,May, 2016
"99",FALSE,26,10,S4590,Si,L,09:30,20,2,Tue,May, 2016
"100",FALSE,26,10,S4590,Si,L,09:45,24,3,Tue,May, 2016
"101",FALSE,26,10,S4590,Si,L,11:15,35,7,Tue,May, 2016
"102",FALSE,26,10,S4590,Si,L,10:00,46,9,Tue,May, 2016
"103",FALSE,26,10,S4590,Si,L,11:30,31,8,Tue,May, 2016
"104",FALSE,26,10,S4590,Si,L,11:45,39,7,Tue,May, 2016
"105",FALSE,26,10,S4590,Si,L,13:00,50,10,Tue,May, 2016
"106",FALSE,26,10,S4590,Si,L,12:00,45,10,Tue,May, 2016
"107",FALSE,26,10,S4590,Si,L,12:15,37,6,Tue,May, 2016
"108",FALSE,26,10,S4590,Si,L,12:30,37,9,Tue,May, 2016
"109",FALSE,26,10,S4590,Si,L,12:45,41,8,Tue,May, 2016
"110",FALSE,26,10,S4590,Si,L,13:15,37,9,Tue,May, 2016
"111",FALSE,26,10,S4590,Si,L,13:30,89,17,Tue,May, 2016
"112",FALSE,26,10,S4590,Si,L,13:45,67,18,Tue,May, 2016
"113",FALSE,26,10,S4590,Si,L,14:00,102,19,Tue,May, 2016
"114",FALSE,26,10,S4590,Si,L,16:00,36,7,Tue,May, 2016
